sample_idx,sample_id,correct,strict_correct,orch_anchor,prog_anchor,anchor_drop,op_disagree,total_tokens,nudge_triggered,drift_onset_turn
1,qrdata_original_qrdata_0_0,1,1,0.0,0.536,-0.536,,644.0,1,
2,qrdata_original_qrdata_1_1,1,1,0.0,0.349,-0.349,,773.0,1,
3,qrdata_original_qrdata_2_2,1,1,0.0,0.3265,-0.3265,,1103.0,1,
4,qrdata_original_qrdata_3_3,1,1,0.0,0.27549999999999997,-0.27549999999999997,,709.0,1,
5,qrdata_original_qrdata_4_4,1,0,0.0,0.286,-0.286,,988.0,1,
6,qrdata_original_qrdata_5_5,1,1,0.0,0.818,-0.818,,283.0,0,
7,qrdata_original_qrdata_6_6,1,1,0.0,0.3215,-0.3215,,1790.0,1,
8,qrdata_original_qrdata_7_7,1,1,0.0,0.326,-0.326,,1922.0,1,
9,qrdata_original_qrdata_8_8,1,1,0.0,0.357,-0.357,,601.0,1,
10,qrdata_original_qrdata_9_9,1,1,0.0,0.43200000000000005,-0.43200000000000005,,653.0,1,
11,qrdata_original_qrdata_10_10,1,1,0.0,0.514,-0.514,,447.0,0,
12,qrdata_original_qrdata_11_11,1,0,0.0,0.242,-0.242,,1165.0,1,
13,qrdata_original_qrdata_12_12,1,0,0.0,0.419,-0.419,,735.0,0,
14,qrdata_original_qrdata_13_13,1,1,0.0,0.2975,-0.2975,,854.0,1,
15,qrdata_original_qrdata_14_14,1,1,0.0,0.35366666666666663,-0.35366666666666663,,1735.0,1,
16,qrdata_original_qrdata_15_15,1,1,0.0,0.4485,-0.4485,,734.0,1,
17,qrdata_original_qrdata_16_16,1,1,0.0,0.4485,-0.4485,,708.0,1,
18,qrdata_original_qrdata_17_17,1,1,0.0,0.571,-0.571,,436.0,0,
19,qrdata_original_qrdata_18_18,1,0,0.0,0.5,-0.5,,543.0,0,
20,qrdata_original_qrdata_19_19,1,1,0.0,0.309,-0.309,,709.0,1,
21,qrdata_original_qrdata_20_20,1,1,0.0,0.412,-0.412,,698.0,1,
22,qrdata_original_qrdata_21_21,1,0,0.0,0.364,-0.364,,694.0,1,
23,qrdata_original_qrdata_22_22,1,1,0.0,0.419,-0.419,,849.0,1,
24,qrdata_original_qrdata_23_23,1,1,0.0,0.4065,-0.4065,,707.0,1,
25,qrdata_original_qrdata_24_24,1,1,0.0,0.42200000000000004,-0.42200000000000004,,687.0,1,
26,qrdata_original_qrdata_25_25,1,0,0.0,0.455,-0.455,,823.0,1,
27,qrdata_original_qrdata_26_26,1,1,0.0,0.4245,-0.4245,,670.0,1,
28,qrdata_original_qrdata_27_27,1,1,0.0,0.4245,-0.4245,,701.0,1,
29,qrdata_original_qrdata_28_28,1,1,0.0,0.485,-0.485,,721.0,1,
30,qrdata_original_qrdata_29_29,1,1,0.0,0.5,-0.5,,746.0,1,
31,qrdata_original_qrdata_30_30,1,1,0.0,0.48650000000000004,-0.48650000000000004,,722.0,1,
32,qrdata_original_qrdata_31_31,1,1,0.0,0.5375,-0.5375,,777.0,1,
33,qrdata_original_qrdata_32_32,1,1,0.0,0.435,-0.435,,746.0,1,
34,qrdata_original_qrdata_33_33,1,0,0.0,0.5,-0.5,,896.0,1,
35,qrdata_original_qrdata_34_34,1,1,0.0,0.571,-0.571,,854.0,1,
36,qrdata_original_qrdata_35_35,1,1,0.0,0.826,-0.826,,497.0,0,
37,qrdata_original_qrdata_36_36,1,1,0.0,0.568,-0.568,,514.0,0,
38,qrdata_original_qrdata_37_37,1,1,0.0,0.311,-0.311,,690.0,1,
39,qrdata_original_qrdata_38_38,1,0,0.0,0.2765,-0.2765,,752.0,1,
40,qrdata_original_qrdata_39_39,1,1,0.0,0.36,-0.36,,734.0,1,
41,qrdata_original_qrdata_40_40,1,1,0.0,0.35,-0.35,,715.0,1,
42,qrdata_original_qrdata_41_41,1,1,0.0,0.4,-0.4,,859.0,1,
43,qrdata_original_qrdata_42_42,1,0,0.0,0.535,-0.535,,687.0,0,
44,qrdata_original_qrdata_43_43,1,0,0.0,0.3725,-0.3725,,1522.0,1,
45,qrdata_original_qrdata_44_44,1,0,0.0,0.49450000000000005,-0.49450000000000005,,2092.0,1,
46,qrdata_original_qrdata_45_45,1,0,0.0,0.29233333333333333,-0.29233333333333333,,848.0,1,
47,qrdata_original_qrdata_46_46,1,0,0.0,0.389,-0.389,,1030.0,1,
48,qrdata_original_qrdata_47_47,1,0,0.0,0.3265,-0.3265,,928.0,1,
49,qrdata_original_qrdata_48_48,1,1,0.0,0.3385,-0.3385,,807.0,1,
50,qrdata_original_qrdata_49_49,1,0,0.0,0.39149999999999996,-0.39149999999999996,,851.0,1,
